,time_open,open,close,market_cap,volume
0,2013-04-29 00:00:00+00:00,134.444,134.999,1497338033.52,
1,2013-04-30 00:00:00+00:00,144.0,144.03,1598135275.5,
2,2013-05-01 00:00:00+00:00,139.0,138.8,1540617540.0,
3,2013-05-02 00:00:00+00:00,116.38,115.0,1276876625.0,
4,2013-05-03 00:00:00+00:00,106.25,105.686,1173814769.75,
5,2013-05-04 00:00:00+00:00,98.1,92.5,1027686562.5,
6,2013-05-05 00:00:00+00:00,112.9,112.168,1246635152.0,
7,2013-05-06 00:00:00+00:00,115.98,116.5,1295267387.5,
8,2013-05-07 00:00:00+00:00,112.25,110.916,1233649345.5,
9,2013-05-08 00:00:00+00:00,109.6,110.22,1226360074.5,
10,2013-05-09 00:00:00+00:00,113.2,112.002,1246663461.45,
11,2013-05-10 00:00:00+00:00,112.799,112.0,1247083600.0,
12,2013-05-11 00:00:00+00:00,117.7,118.0,1314404950.0,
13,2013-05-12 00:00:00+00:00,115.64,115.8,1290423090.0,
14,2013-05-13 00:00:00+00:00,114.82,115.824,1291176996.0,
15,2013-05-14 00:00:00+00:00,117.98,117.795,1313667509.25,
16,2013-05-15 00:00:00+00:00,111.4,106.789,1191340753.72,
17,2013-05-16 00:00:00+00:00,114.22,114.899,1282224007.92,
18,2013-05-17 00:00:00+00:00,118.21,118.0,1317284150.0,
19,2013-05-18 00:00:00+00:00,123.5,123.015,1373733108.0,
20,2013-05-19 00:00:00+00:00,123.211,123.5,1379606150.0,
21,2013-05-20 00:00:00+00:00,122.5,122.734,1371543244.95,
22,2013-05-21 00:00:00+00:00,122.02,122.61,1370549906.25,
23,2013-05-22 00:00:00+00:00,122.89,122.8,1373140390.0,
24,2013-05-23 00:00:00+00:00,123.8,124.16,1388828928.0,
25,2013-05-24 00:00:00+00:00,126.3,126.782,1418722275.5,
26,2013-05-25 00:00:00+00:00,133.1,132.82,1486850169.5,
27,2013-05-26 00:00:00+00:00,131.986,131.222,1469499408.65,
28,2013-05-27 00:00:00+00:00,133.5,133.57,1496334621.25,
29,2013-05-28 00:00:00+00:00,129.77,128.49,1439981005.5,
30,2013-05-29 00:00:00+00:00,129.0,129.65,1453480220.0,
31,2013-05-30 00:00:00+00:00,132.25,131.72,1477249679.0,
32,2013-05-31 00:00:00+00:00,128.799,128.8,1445097360.0,
33,2013-06-01 00:00:00+00:00,128.815,129.361,1451951098.02,
34,2013-06-02 00:00:00+00:00,129.3,129.3,1451958187.5,
35,2013-06-03 00:00:00+00:00,122.5,121.56,1365647586.0,
36,2013-06-04 00:00:00+00:00,120.737,122.18,1373248219.0,
37,2013-06-05 00:00:00+00:00,121.4,120.235,1352042575.0,
38,2013-06-06 00:00:00+00:00,121.9,121.89,1371219838.5,
39,2013-06-07 00:00:00+00:00,118.97,118.96,1338784762.0,
40,2013-06-08 00:00:00+00:00,111.0,111.3,1253018182.5,
41,2013-06-09 00:00:00+00:00,107.892,108.4,1220863130.0,
42,2013-06-10 00:00:00+00:00,100.437,99.6,1122158340.0,
43,2013-06-11 00:00:00+00:00,106.35,105.99,1194605340.75,
44,2013-06-12 00:00:00+00:00,109.0,108.85,1227338175.0,
45,2013-06-13 00:00:00+00:00,108.776,108.2,1220558215.0,
46,2013-06-14 00:00:00+00:00,103.949,102.2,1153344885.0,
47,2013-06-15 00:00:00+00:00,100.0,98.5,1112035450.0,
48,2013-06-16 00:00:00+00:00,99.8,100.958,1140219652.0,
49,2013-06-17 00:00:00+00:00,99.9,99.9113,1128852818.62,
50,2013-06-18 00:00:00+00:00,101.95,101.85,1151134162.5,
51,2013-06-19 00:00:00+00:00,107.05,106.39,1202824062.0,
52,2013-06-20 00:00:00+00:00,108.251,107.782,1218922805.3,
53,2013-06-21 00:00:00+00:00,111.29,110.36,1248494403.0,
54,2013-06-22 00:00:00+00:00,109.5,109.512,1239366468.6,
55,2013-06-23 00:00:00+00:00,108.2,108.0,1222740900.0,
56,2013-06-24 00:00:00+00:00,107.9,107.25,1214678643.75,
57,2013-06-25 00:00:00+00:00,102.09,102.121,1156974763.45,
58,2013-06-26 00:00:00+00:00,103.329,102.999,1167334016.55,
59,2013-06-27 00:00:00+00:00,104.0,103.59,1174469753.25,
60,2013-06-28 00:00:00+00:00,101.737,101.448,1150613071.2,
61,2013-06-29 00:00:00+00:00,94.66,93.8,1064259490.0,
62,2013-06-30 00:00:00+00:00,94.999,95.0,1078276125.0,
63,2013-07-01 00:00:00+00:00,97.51,97.419,1106109938.85,
64,2013-07-02 00:00:00+00:00,88.05,90.2199,1024731157.18,
65,2013-07-03 00:00:00+00:00,90.405,90.1902,1024743307.16,
66,2013-07-04 00:00:00+00:00,78.89,80.51,915120940.5,
67,2013-07-05 00:00:00+00:00,79.99,79.87,908179805.75,
68,2013-07-06 00:00:00+00:00,68.505,67.5,767832750.0,
69,2013-07-07 00:00:00+00:00,68.749,67.9788,773600443.47,
70,2013-07-08 00:00:00+00:00,76.5,75.0,853850625.0,
71,2013-07-09 00:00:00+00:00,76.0,76.59,872319890.25,
72,2013-07-10 00:00:00+00:00,76.72,77.119,878707381.825,
73,2013-07-11 00:00:00+00:00,88.0,89.891,1024658519.9,
74,2013-07-12 00:00:00+00:00,88.979,89.5,1020593112.5,
75,2013-07-13 00:00:00+00:00,93.9899,93.8822,1070921296.56,
