iter	Passed	Remaining
312	1622	3561
313	1623	3547
314	1624	3533
315	1642	3554
31320	2143	4533
321	2143	4514
322	2144	4495
323	2145	4476
324	2146	4457
325	2147	4439
326	2147	4420
327	2148	4402
328	2149	4383
329	2150	4365
330	2151	4347
331	2215	4456
332	2215	4438
333	2216	4419
334	2217	4401
335	2218	4383
336	2219	4365
337	2239	4385
338	2239	4367
339	2240	4349
340	2241	4332
341	2242	4314
342	2254	4319
343	2288	4365
344	2289	4347
345	2291	4330
346	2292	4313
347	2305	4318
348	2306	4301
349	2308	4286
350	2327	4302
351	2328	4286
352	2329	4269
353	2334	4259
354	2334	4242
355	2335	4225
356	2336	4208
357	2337	4191
358	2342	4183
359	2343	4166
360	2344	4150
361	2365	4169
362	2366	4153
363	2367	4136
364	2368	4120
365	2369	4104
366	2393	4128
367	2394	4112
368	2395	4095
369	2396	4079
370	2396	4063
371	2397	4047
372	2398	4031
373	2399	4015
374	2457	4095
375	2458	4079
376	2459	4063
377	2459	4047
378	2479	4061
379	2479	4046
380	2480	4030
381	2481	4014
382	2482	3999
383	2483	3983
384	2484	3968
385	2485	3952
386	2485	3937
387	2486	3922
388	2521	3960
389	2529	3956
390	2531	3942
391	2532	3927
392	2534	3914
393	2567	3948
394	2573	3941
395	2598	3964
396	2599	3948
397	2600	3932
398	2600	3917
399	2602	3904
400	2603	3889
401	2604	3874
402	2605	3859
403	2606	3844
404	2607	3830
405	2607	3815
406	2608	3800
407	2624	3807
408	2624	3792
409	2625	3778
410	2626	3764
411	2627	3749
412	2628	3735
413	2629	3721
414	2629	3707
415	2630	3693
416	2631	3679
417	2632	3665
418	2634	3652
419	2635	3639
420	2636	3626
421	2640	3616
422	2642	3604
423	2652	3604
424	2654	3590
425	2655	3577
426	2664	3576
427	2675	3575
428	2685	3574
429	2686	3561
430	2687	3548
431	2688	3534
432	2689	3521
433	2696	3515
434	2697	3503
435	2698	3490
436	2699	3477
437	2708	3475
438	2709	3462
439	2710	3449
440	2711	3436
441	2711	3423
442	2712	3410
443	2713	3398
444	2714	3385
445	2715	3372
446	2716	3360
447	2717	3347
448	2718	3335
449	2750	3361
450	2751	3349
451	2752	3337
452	2753	3325
453	2763	3323
454	2788	3339
455	2789	3327
456	2790	3315
457	2790	3302
458	2791	3290
459	2792	3278
460	2793	3265
461	2794	3253
462	2807	3256
463	2808	3244
464	2809	3231
465	2809	3219
466	2810	3207
467	2811	3196
468	2812	3184
469	2813	3172
470	2815	3162
471	2821	3156
472	2822	3144
473	2823	3133
474	2824	3121
475	2824	3109
476	2825	3098
477	2826	3086
478	2827	3075
479	2828	3063
480	2828	3052
481	2838	3050
482	2839	3039
483	2840	3027
484	2840	3016
485	2841	3005
486	2842	2994
487	2848	2988
488	2849	2977
489	2850	2967
490	2851	2956
491	2865	2958
492	2866	2947
493	2867	2937
494	2868	2926
495	2869	2915
496	2870	2905
497	2871	2894
498	2872	2883
499	2873	2873
500	2874	2863
501	2875	2852
502	2876	2842
503	2877	2831
504	2878	2821
505	2878	2810
506	2880	2800
507	2881	2790
508	2881	2779
509	2882	2769
510	2883	2759
511	2884	2749
512	2885	2738
513	2886	2728
514	2886	2718
515	2887	2708
516	2888	2698
517	2889	2688
518	2890	2678
519	2891	2668
520	2891	2658
521	2892	2648
522	2893	2638
523	2894	2629
524	2895	2619
525	2895	2609
526	2896	2599
527	2897	2590
528	2898	2580
529	2899	2571
530	2900	2561
531	2901	2552
532	2902	2543
533	2907	2537
534	2908	2527
535	2909	2518
536	2909	2508
537	2910	2499
538	2916	2494
539	2917	2484
540	2917	2475
541	2918	2466
542	2919	2457
543	2938	2463
544	2939	2453
545	2940	2444
546	2940	2435
547	2941	2426
548	2942	2417
549	2943	2408
550	2944	2399
551	2945	2390
552	2974	2404
553	2975	2395
554	2976	2386
555	2977	2377
556	2978	2368
557	2979	2359
558	2979	2350
559	2980	2341
560	3005	2352
561	3006	2343
562	3007	2334
563	3008	2325
564	3009	2316
565	3010	2308
566	3010	2299
567	3011	2290
568	3012	2281
569	3031	2287
570	3032	2278
571	3033	2269
572	3034	2261
573	3035	2252
574	3035	2243
575	3036	2235
576	3042	2230
577	3043	2221
578	3048	2216
579	3049	2208
580	3050	2199
581	3053	2192
582	3054	2184
583	3055	2176
584	3056	2168
585	3057	2159
586	3058	2151
587	3059	2143
588	3060	2135
589	3063	2128
590	3064	2120
591	3065	2112
592	3083	2116
593	3084	2107
594	3084	2099
595	3085	2091
596	3086	2083
597	3087	2075
598	3088	2067
599	3107	2071
600	3107	2063
601	3108	2055
602	3109	2047
603	3110	2039
604	3112	2032
605	3113	2024
606	3114	2016
607	3115	2008
608	3116	2000
609	3117	1993
610	3139	1998
611	3139	1990
612	3140	1982
613	3141	1974
614	3142	1967
615	3143	1959
616	3144	1951
617	3144	1943
618	3145	1936
619	3146	1928
620	3147	1920
621	3162	1921
622	3163	1914
623	3164	1906
624	3165	1899
625	3166	1891
626	3166	1884
627	3167	1876
628	3168	1868
629	3169	1861
630	3172	1854
631	3172	1847
632	3173	1840
633	3175	1833
634	3176	1826
635	3178	1818
636	3179	1811
637	3180	1804
638	3181	1797
639	3182	1790
640	3183	1782
641	3184	1775
642	3184	1768
643	3185	1761
644	3186	1753
645	3187	1746
646	3188	1739
647	3189	1732
648	3189	1725
649	3190	1718
650	3191	1710
651	3192	1703
652	3193	1696
653	3194	1689
654	3194	1682
655	3195	1675
656	3196	1668
657	3197	1662
658	3198	1655
659	3199	1648
660	3200	1641
661	3201	1634
662	3202	1628
663	3203	1621
664	3204	1614
665	3205	1607
666	3206	1601
667	3207	1594
668	3208	1587
669	3209	1580
670	3210	1574
671	3211	1567
672	3212	1561
673	3213	1554
674	3215	1547
675	3216	1541
676	3217	1534
677	3218	1528
678	3219	1521
679	3220	1515
680	3221	1509
681	3222	1502
682	3223	1496
683	3224	148680	2800	1311
681	2801	1306
682	2802	1300
683	2802	1294
684	2803	1289
685	2804	1283
686	2805	1278
687	2806	1272
688	2807	1267
689	2808	1261
690	2808	1256
69695	3257	14269696	3258	1416
697	3259	1410
698	3264	1405
699	3275	1403
700	3276	1397
701	3277	1391
702	3292	1390
703	3293	1384
704	3294	1378
705	3294	1372
706	3295	1365
707	3296	1359
708	3297	1353
709	3307	1351
710	3308	1344
711	3309	1338
712	3310	1332
713	3311	1326
714	3312	13271715	3317	131712	2875	1157
713	2876	1152
714	2877	1146
715	2897	1149
716	2899	1144
717	2901	1139
718	2901	1134
719	2902	1128
720	2903	1123
721	2918	1123
722	2919	1118
723	2921	1113
724	2922	1108
725	2923	1103
726	2923	1098
727	2926	1093
728	2929	1088
729	2930	1084
730	2945	1083
731	2946	1078
732	2946	1073
733	2948	1068
734	2949	1063
735	2949	1058
736	2950	1053
737	2951	1047
738	2972	1049
739	2973	1044
740	2974	1039
741	2975	1034
742	2976	1029
743	2977	1024
744	2978	1019
745	2979	1014
746	2980	1009
747	2981	1004
748	2982	999
749	2983	994
750	2984	989
751	2985	984
752	2986	979
753	2987	974
754	2990	970
755	2993	966
756	2994	961
757	2996	956
758	2997	951
759	2998	946
760	2999	942
761	3000	937
762	3001	932
763	3024	934
764	3025	929
765	3026	924
766	3028	919
767	3029	915
768	3053	917
769	3054	912
770	3055	907
771	3056	902
772	3057	897
773	3058	893
774	3059	888
775	3060	883
776	3061	878
777	3089	881
778	3090	876
779	3091	872
780	3092	867
781	3093	862
782	3097	858
783	3098	853
784	3099	848
785	3100	844
786	3100	839
787	3101	834
788	3102	829
789	3103	825
790	3104	820
791	3117	818
792	3118	813
793	3119	809
794	3120	804
795	3122	800
796	3123	795
797	3124	790
798	3125	786
799	3125	781
800	3126	776
801	3153	778
802	3154	773
803	3155	769
804	3156	764
805	3157	759
806	3157	755
807	3158	750
808	3159	745
809	3160	741
810	3161	736
811	3162	732
812	3163	727
813	3163	722
814	3164	718
815	3165	713
816	3166	709
817	3167	704
818	3167	700
819	3168	695
820	3169	691
821	3170	686
822	3171	682
823	3172	677
824	3172	673
825	3173	668
826	3174	664
827	3175	659
828	3176	655
829	3177	650
830	3178	646
831	3179	642
832	3180	637
833	3181	633
834	3191	630
835	3193	626
836	3193	622
837	3195	617
838	3195	613
839	3196	608
840	3197	604
841	3198	600
842	3199	595
843	3200	591
844	3201	587
845	3202	582
846	3203	578
847	3204	574
848	3205	570
849	3206	565
850	3207	561
851	3208	557
852	3209	553
853	3210	548
854	3211	544
855	3212	540
856	3213	536
857	3214	531
858	3214	527
859	3227	525
860	3228	521
861	3228	516
862	3229	512
863	3230	508
864	3231	504
865	3232	500
866	3233	495
867	3234	491
868	3234	487
869	3235	483
870	3236	479
871	3237	475
872	3238	471
873	3239	467
874	3240	462
875	3241	458
876	3242	454
877	3243	450
878	3244	446
879	3245	442
880	3246	438
881	3257	435
882	3258	431
883	3259	427
884	3260	423
885	3261	419
886	3262	415
887	3263	411
888	3264	407
889	3265	403
890	3265	399
891	3266	395
892	3268	391
893	3275	388
894	3276	384
895	3276	380
896	3277	376
897	3278	372
898	3279	368
899	3280	364
900	3281	360
901	3281	356
902	3282	352
903	3283	348
904	3284	344
905	3285	340
906	3286	336
907	3287	333
908	3287	329
909	3288	325
910	3289	321
911	3290	317
912	3291	313
913	3292	309
914	3293	305
915	3293	302
916	3294	298
917	3295	294
918	3296	290
919	3297	286
920	3298	282
921	3298	279
922	3299	275
923	3300	271
924	3301	267
925	3302	263
926	3303	260
927	3303	256
928	3304	252
929	3305	248
930	3306	245
931	3307	241
932	3308	237
933	3309	233
934	3309	230
935	3310	226
936	3311	222
937	3312	218
938	3313	215
939	3314	211
940	3314	207
941	3315	204
942	3316	200
943	3317	196
944	3318	193
945	3319	189
946	3319	185
947	3320	182
948	3321	178
949	3322	174
950	3323	171
951	3324	167
952	3324	163
953	3325	160
954	3326	156
955	3327	153
956	3328	149
957	3329	145
958	3329	142
959	3330	138
960	3331	135
961	3332	131
962	3333	128
963	3334	124
964	3334	120
965	3335	117
966	3336	113
967	3337	110
968	3338	106
969	3339	103
970	3340	99
971	3340	96
972	3341	92
973	3342	89
974	3343	85
975	3344	82
976	3344	78
977	3345	75
978	3346	71
979	3347	68
980	3348	64
981	3349	61
982	3349	57
983	3350	54
984	3351	51
985	3352	47
986	3353	44
987	3353	40
988	3354	37
989	3355	33
990	3356	30
991	3357	27
992	3358	23
993	3359	20
994	3360	16
995	3361	13
996	3361	10
997	3362	6
998	3363	3
999	3364	0
00	86
985	5701	80
986	5709	75
987	5710	69
988	5711	63
989	5712	57
990	5712	51
991	5713	46
992	5715	40
993	5716	34
994	5717	28
995	5718	22
996	5719	17
997	5720	11
998	5721	5
999	5722	0
