iter	RMSE
0	0.9558998067
1	0.9141559091
2	0.8727006034
3	0.8344609328
4	0.7968161232
5	0.7630462662
6	0.7311933822
7	0.6988932761
8	0.6691021247
9	0.6400729418
10	0.6133114227
11	0.5874044309
12	0.5619201593
13	0.538004949
14	0.5163676036
15	0.4959848975
16	0.4769167768
17	0.4578776908
18	0.4408918145
19	0.4227434214
20	0.4059521417
21	0.3905517151
22	0.3758099143
23	0.3620662442
24	0.3479631732
25	0.3346433378
26	0.3220435093
27	0.3108652522
28	0.3004353057
29	0.2889260463
30	0.2797121751
31	0.2699859315
32	0.2605063411
33	0.2510960461
34	0.2426433221
35	0.2352616289
36	0.2279526448
37	0.2208792182
38	0.2143364536
39	0.2075460854
40	0.2023483464
41	0.1961607652
42	0.1906729229
43	0.1858176573
44	0.1811277692
45	0.1765384782
46	0.1720743226
47	0.1675229854
48	0.1635090181
49	0.1594911416
50	0.1552377468
51	0.151352749
52	0.1482649645
53	0.145107312
54	0.1418133084
55	0.1392168507
56	0.1367367207
57	0.1338101507
58	0.1311100775
59	0.128347453
60	0.1257639448
61	0.1234236755
62	0.1207025615
63	0.1187287512
64	0.1164339054
65	0.1144493663
66	0.112695539
67	0.1108142483
68	0.1087818133
69	0.1072091617
70	0.1050936263
71	0.1038295994
72	0.1022084143
73	0.1006387247
74	0.09922416617
75	0.09784202887
76	0.09652808411
77	0.09567628347
78	0.09465929173
79	0.09332518699
80	0.09236735632
81	0.09111310745
82	0.08997654113
83	0.08886058918
84	0.08799353772
85	0.08720151744
86	0.08642485687
87	0.08559584703
88	0.08501517204
89	0.08432386329
90	0.08354128024
91	0.08276538092
92	0.08219960146
93	0.08158595737
94	0.0809074543
95	0.08036853612
96	0.07966141037
97	0.07894752466
98	0.0783420649
99	0.07772485709
100	0.07712848399
101	0.07669089512
102	0.07604703904
103	0.0756994785
104	0.07525196854
105	0.0748521363
106	0.07438524926
107	0.07397908821
108	0.07365934436
109	0.07330700526
110	0.07297829615
111	0.07257306611
112	0.07224004381
113	0.07187378181
114	0.07150293816
115	0.07123564885
116	0.07101162968
117	0.07059232717
118	0.07013489444
119	0.06980439785
120	0.0695843004
121	0.0692707424
122	0.06881939287
123	0.06872221246
124	0.06841730361
125	0.06812866941
126	0.06788273411
127	0.06758382554
128	0.06733200432
129	0.06710941245
130	0.06685670111
131	0.06646914852
132	0.06627707347
133	0.06613075318
134	0.06583055426
135	0.0656017679
136	0.06526795682
137	0.06494275269
138	0.06456683324
139	0.06434014589
140	0.06420157926
141	0.06405896458
142	0.06380140953
143	0.06345336993
144	0.06328796886
145	0.06295540353
146	0.06278282275
147	0.06249380149
148	0.06212505617
149	0.06178080858
150	0.06165307385
151	0.06148087924
152	0.06119599464
153	0.06097667889
154	0.06073991497
155	0.0604426044
156	0.0603141135
157	0.06008896793
158	0.05991820116
159	0.05975811323
160	0.05949691138
161	0.05930522991
162	0.05911646786
163	0.05895811526
164	0.05880986197
165	0.05855286439
166	0.05843122157
167	0.05824834245
168	0.0581325542
169	0.05785291498
170	0.05766543665
171	0.05756670185
172	0.05742913273
173	0.05731535823
174	0.05719035327
175	0.05700846094
176	0.05684635903
177	0.05669970216
178	0.05659278878
179	0.05647826556
180	0.05636488168
181	0.05619834055
182	0.0560644188
183	0.05589044097
184	0.05578059503
185	0.05564330873
186	0.05550328941
187	0.05530211811
188	0.0551931999
189	0.05511887572
190	0.05497593298
191	0.05478332302
192	0.0546177374
193	0.05444387001
